InputID,TargetID,Distance,Urban_Pct,Urban_Cat,Notes
Smart Farm,CHI_CityCenter,57790.67564,10,Low,Sat_estimate
Growing Power,CHI_CityCenter,12259.96544,20,Low,
Jackson Park,CHI_CityCenter,12259.96544,20,Low,
Moraine College,CHI_CityCenter,27103.53121,20,Low,
North Park,CHI_CityCenter,13914.70905,20,Low,
Peggy,CHI_CityCenter,4960.649065,20,Low,
Ag school childrens garden,CHI_CityCenter,22761.78895,20,Low,
C. Wright,CHI_CityCenter,7166.609569,30,Medium,
Garfield Park,CHI_CityCenter,7560.888904,30,Medium,
Lincoln Park_Stockton,CHI_CityCenter,4764.623178,30,Medium,
Procksa Park,CHI_CityCenter,15048.80573,30,Medium,
Howard community,CHI_CityCenter,16105.63298,40,Medium,
Lincoln Park_Sheridan,CHI_CityCenter,11070.21113,40,Medium,
Marquette Park,CHI_CityCenter,14685.56411,40,Medium,
Nicholas Park,CHI_CityCenter,9823.523963,40,Medium,
Rockwell,CHI_CityCenter,10191.31295,40,Medium,
S. Arts garden,CHI_CityCenter,17810.31071,40,Medium,
Gingko Garden,CHI_CityCenter,8621.108177,50,Medium,
Green Youth,CHI_CityCenter,7872.126818,50,Medium,
Kilbourne,CHI_CityCenter,11584.59709,50,Medium,
Oscar,CHI_CityCenter,5267.644827,50,Medium,
65th & Woodlawn,CHI_CityCenter,11812.84,50,Medium,
Brick Yard,CHI_CityCenter,11183.58399,60,Medium,
Brickyard garden,CHI_CityCenter,11183.58399,60,Medium,
City Farm,CHI_CityCenter,2832.06049,60,Medium,
Kendall,CHI_CityCenter,8679.70819,60,Medium,
Lurie Garden,CHI_CityCenter,425.7716586,60,Medium,
Monticello,CHI_CityCenter,8776.608133,60,Medium,
St. Ignathius,CHI_CityCenter,2724.336939,60,Medium,
Andersonville,CHI_CityCenter,11500.61481,70,Medium,
Flannery,CHI_CityCenter,3505.100996,70,Medium,
Kendall college,CHI_CityCenter,2537.467027,70,Medium,
Greenhouse,CHI_CityCenter,4427.345053,80,High,
Frankie Machine,CHI_CityCenter,4464.697056,80,High,
Growing station,CHI_CityCenter,3564.022075,90,High,
Xochiquetzal,CHI_CityCenter,5239.189229,90,High,